~Version Information
 LMF .      KB                                      :  Log Measured From
 APD .M     9.00                                    :  Above Permanent Datum
 DMF .      KB                                      :  Drilling Measured From
 EKB .M     428.888                                 :  Elevation Of Kelly Bushing
 EDF .M     428.888                                 :  Elevation Of Derrick Floor
 EGL .M     419.888                                 :  Elevation Of Ground Level
 RUN .      1                                       :  Run Number
 TRIP.      1                                       :  Trip Number
 TDD .M     1700.00                                 :  Total Depth - Driller
 TDL .M     1699.00                                 :  Total Depth - Logger
 BLI .M     1698.10                                 :  Bottom Log Interval
 TLI .M     20.00                                   :  Top Log Interval
 CSIZ.IN    9.625                                   :  Casing Size
 CBDR.M     958.00                                  :  N/A
 CBLO.M     958.00                                  :  N/A
 BS  .IN    8.5                                     :  Bit Size
 DFT .      SILICATE / KCL MUD                      :  Drilling Fluid Type
 DFD .G/C3  1.20                                    :  Drilling Fluid Density
 DFV .S     56                                      :  Drilling Fluid Viscosity
 DFPH.      11.5                                    :  Drilling Fluid Ph
 DFL .ML    4.6                                     :  Drilling Fluid Loss
 MSS .      FLOW LINE                               :  Mud Sample Source
 RMS .OHMM  0.10                                    :  Resistivity Of Mud Sample
 MST .DEGC  26.7                                    :  Mud Sample Temperature
 RMFS.OHMM  0.08                                    :  Resistivity Of Mud Filtrate Sample
 MFST.DEGC  26.7                                    :  Mud Filtrate Sample Temperature
 RMCS.OHMM  0.13                                    :  Resistivity Of Mud Cake Sample
 MCST.DEGC  26.7                                    :  Mud Cake Sample Temperature
 MFSS.      PRESS                                   :  Mud Filtrate Sample Source
 MCSS.      PRESS                                   :  Mud Cake Sample Source
 RMB .OHMM  0.050                                   :  Mud Resistivity At Bht
 BHT .DEGC  75.5                                    :  Bottom Hole Temperature
 TSC .      10.0 HOURS                              :  Time Since Circulation
 MRT .DEGC  75.5                                    :  Maximum Recorded Temperature
 LUN .      6654                                    :  Logging Unit Number
 LUL .      BALEELA                                 :  Logging Unit Location
 ENGI.      GUOFUJUN                                :  Engineer's Name
 WITN.      MR. SULEIMAN A.BASIT                    :  Witness' Name
 TSTR.      //                                      :  N/A
 TSTG.      NA                                      :  N/A
 STUS.      FINAL                                   :  N/A
 LCNM.      BAKER ATLAS                             :  N/A
 LCC .      150                                     :  Logging Company Code
 NATI.      RIG 115                                 :  Nation
 OPMD.      OH.WIRE                                 :  N/A
 PANA.      GUOFUJUN                                :  N/A
 PCON.      BAKER ATLAS                             :  N/A
~Other information
 1. ALL THE REFERENCE DATA PROVIDED BY OUR CUSTOMER.                             
 2. CALIPER CHECK IN CASING DONE AND PRESENTED.                                  
 3. SONIC CHECK IN CASING DONE AND PRESENTED.                                    
 4. MAXIUM RECORDED TEMPERTURE FROM TTRM IN LOGGINIG HEAD IS 75.5 DEGC.          
 5. ADDITIONAL MUD DATA:                                                         
    SOLID: 9%; SALINITY OF MUD: 59000 PPM. THE MUD TYPE: SILICATE/KCL MUD.       
 6. WASHOUT SOMEWHERE,THE CURVES WERE AFFACTED.                                  
#  Curve Data
~A DEPT      BIT       BVOL      CAL       CNC       CVOL      DT        GR        PE        RD        RMSL      RS        SPBR      SPD       TTEN      ZCOR      ZDEN     
   17.983  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.059  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.136  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.212  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.288  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.364  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.440  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.517  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.593  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.669  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.745  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.821  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.898  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   18.974  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.050  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.126  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.202  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.279  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.355  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.431  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.507  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.583  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.660  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.736  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.812  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.888  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.896  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   19.964  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.179  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.041  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.133  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.117  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.828  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.193  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.755  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.269  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.893  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.345  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.714  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.422  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.486  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.498  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.071  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.574  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.372  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.650  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.167  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.726  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.282  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.803  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.724  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.879  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.737  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   20.955  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.032  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.031  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    49.819  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.107  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    50.683  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.184  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    50.517  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.260  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    50.247  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.336  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    50.120  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.412  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    49.582  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.488  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.940  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.565  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.642  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.641  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.721  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.717  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.652  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.793  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    50.268  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.869  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    52.868  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   21.946  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    51.965  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.022  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.449  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.098  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.308  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.174  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.985  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.289  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.327  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.749  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.403  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.299  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.479  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.786  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.555  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.593  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.631  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.367  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.708  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.579  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.784  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.604  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.860  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.584  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   22.936  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.695  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.012  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.768  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.089  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    43.371  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.165  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    42.794  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.241  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    43.152  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.317  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.037  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.393  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.607  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.470  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.209  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.546  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    43.686  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.622  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    43.561  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.698  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    43.567  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.774  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    43.417  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.851  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    43.708  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   23.927  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.039  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.003  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.768  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.079  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.150  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.155  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.616  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.232  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.476  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.308  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.094  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.384  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.976  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.460  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.422  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.536  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    49.281  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.613  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    49.605  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.689  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.437  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.765  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.948  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.841  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.718  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.917  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.180  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   24.994  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.478  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.070  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.067  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.146  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.672  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.222  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.525  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.298  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.375  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.375  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.229  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.451  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.208  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.527  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.778  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.603  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.071  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.679  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.536  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.756  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    50.274  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.832  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    49.614  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.908  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.833  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   25.984  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    44.082  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.060  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    43.635  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.137  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    45.306  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.213  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.577  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.289  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    49.300  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.365  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    49.593  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.441  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.316  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.518  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.915  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.594  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    46.840  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.670  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.463  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.746  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.861  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.822  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.589  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.899  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.074  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   26.975  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    47.421  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.051  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.566  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.127  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.978  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.203  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.579  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.280  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.199  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.356  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.270  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.432  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.767  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.508  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.808  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.584  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.382  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.661  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.599  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.737  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    49.583  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.813  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    50.039  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.889  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    49.640  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
   27.965  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250    48.574  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250  -999.250
