DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
75.438,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,74.648,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.514,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.049,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.59,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,77.456,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.667,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.922,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.743,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,75.203,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.819,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,74.705,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.895,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,77.129,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
75.971,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,81.411,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.048,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,83.4,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.124,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,81.311,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.2,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,78.057,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.276,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.006,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.352,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.141,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.429,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,79.31,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.505,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,83.724,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.581,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,86.431,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
76.657,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,85.665,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
